zip_code,Number of returns [2],Earned income credit [11],Number with paid preparer's signature,eitc_rate,paid_preparer_rate
90405,14710.0,1020,9260.0,6.934058463630184,62.95037389530931
90501,20610.0,2800,13690.0,13.58563803978651,66.42406598738476
90502,9120.0,1100,6210.0,12.06140350877193,68.0921052631579
90503,21270.0,1580,13000.0,7.428302773859896,61.1189468735308
90504,16120.0,1640,10190.0,10.173697270471465,63.21339950372209
90505,17580.0,1140,10990.0,6.484641638225256,62.51422070534699
90601,15510.0,1930,10730.0,12.443584784010316,69.18117343649259
90602,11790.0,1840,8180.0,15.606446140797287,69.38083121289228
90603,10170.0,850,7020.0,8.357915437561456,69.02654867256636
90604,18770.0,2390,13010.0,12.733084709643046,69.31273308470965
90605,19030.0,2880,13870.0,15.133998949027852,72.88491854965844
90606,15060.0,2370,10970.0,15.737051792828685,72.84196547144755
90620,22480.0,2570,14930.0,11.432384341637011,66.41459074733096
90621,16930.0,2720,12180.0,16.066154754873008,71.94329592439456
90623,7670.0,680,5120.0,8.865710560625816,66.7535853976532
90630,24120.0,2320,15280.0,9.618573797678277,63.349917081260365
90631,32770.0,3930,22900.0,11.992676228257553,69.88098870918523
90638,22440.0,2070,15150.0,9.224598930481283,67.51336898395722
90640,29070.0,5080,21080.0,17.475060199518406,72.51461988304094
90650,47880.0,7790,34720.0,16.26984126984127,72.51461988304094
90660,29260.0,4800,21610.0,16.404647983595353,73.8550922761449
90670,8180.0,1120,5690.0,13.691931540342297,69.559902200489
90680,14280.0,2490,10250.0,17.436974789915965,71.77871148459384
90701,7690.0,1180,5560.0,15.344603381014304,72.30169050715214
90703,24630.0,1850,16190.0,7.511165245635404,65.7328461226147
90706,35440.0,6500,24990.0,18.340857787810382,70.5135440180587
90710,12320.0,1950,8580.0,15.827922077922077,69.64285714285714
90712,15960.0,1550,10500.0,9.711779448621554,65.78947368421053
90713,14020.0,1050,9110.0,7.4893009985734675,64.97860199714694
90715,9830.0,1500,6610.0,15.25940996948118,67.24313326551373
90716,6070.0,1340,4580.0,22.075782537067546,75.45304777594728
90717,10450.0,1430,6830.0,13.684210526315791,65.35885167464114
90720,11240.0,740,7360.0,6.583629893238434,65.48042704626334
90723,23960.0,5330,17870.0,22.245409015025043,74.58263772954925
90731,26690.0,4500,17790.0,16.860247283626826,66.65417759460472
90732,10670.0,740,7240.0,6.935332708528586,67.85379568884724
90740,13720.0,500,9060.0,3.6443148688046647,66.03498542274052
