zip_code,Number of returns [2],Earned income credit [11],Number with paid preparer's signature,eitc_rate,paid_preparer_rate,poverty_rate,disability_rate,poverty_z,disability_z,preliminary_need_score,latitude,longitude,city,location,limited_english_rate,no_internet_rate,limited_english_z,no_internet_z,default_need_score
94560,23860.0,1540,13480.0,6.454316848281643,56.49622799664711,4.0,8.7,-0.7848394897341765,-0.43415751543514497,-0.6094985025846607,37.504253,-122.03191,Newark,Newark (94560),54.988179669030735,3.032759202971969,1.338680464001648,-0.55745432342727,-0.10944271614873585
94608,15590.0,1580,6560.0,10.13470173187941,42.07825529185375,13.8,10.3,0.5510698560587346,0.23487209851409646,0.3929709772864155,37.836844,-122.289143,Emeryville / Oakland,Emeryville / Oakland (94608),25.283909659308407,3.7259155289013655,-0.8861126132342951,-0.3789143059771988,-0.11977124115966573
94501,30900.0,2610,15410.0,8.446601941747572,49.8705501618123,8.2,9.8,-0.21230691296578616,0.02580034415495869,-0.0932532844054137,37.774712,-122.278097,Alameda,Alameda (94501),33.137160701417244,5.212587076627432,-0.29791911288700207,0.004015711602374317,-0.1201024925238638
94602,13900.0,1150,7310.0,8.273381294964029,52.58992805755396,7.4,10.9,-0.3213607371121461,0.4857582037450616,0.0821987333164577,37.805235,-122.204229,Oakland,Oakland (94602),29.10534149164875,5.019017694724657,-0.5998946693852405,-0.0458429992394871,-0.12033505049795301
94546,22090.0,1740,12320.0,7.876867360796741,55.771842462652785,7.5,10.0,-0.30772900909385115,0.10942904589861349,-0.0991499815976188,37.745399,-122.103127,Castro Valley,Castro Valley (94546),32.10039630118891,4.592061395231805,-0.37557078584842213,-0.15581643857824337,-0.18242179690547577
94539,25000.0,810,11480.0,3.24,45.92,3.7,6.1,-0.8257346737890615,-1.5213306381026612,-1.1735326559458614,37.516292,-121.911891,Fremont,Fremont (94539),68.2469075620011,2.364267869112181,2.331733853954701,-0.7296412456955158,-0.1862431759081344
94703,9380.0,750,4070.0,7.995735607675907,43.39019189765458,11.9,10.5,0.29206702371112936,0.31850080025775124,0.3052839119844402,37.863715,-122.275684,Berkeley,Berkeley (94703),25.32677779110205,2.9859695407123157,-0.8829018720574435,-0.5695061893683626,-0.2104600593642314
94609,11420.0,1220,4800.0,10.683012259194395,42.03152364273205,10.1,9.1,0.04669591938181909,-0.26690011194783464,-0.1101020962830077,37.834816,-122.264195,Oakland,Oakland (94609),25.61261853347104,5.558163552718055,-0.8614929465189143,0.0930277104308154,-0.24716735716352864
94555,15720.0,730,7730.0,4.643765903307888,49.17302798982188,3.9,5.2,-0.7984712177524714,-1.8976597959491088,-1.34806550685079,37.547594,-122.09822,Fremont,Fremont (94555),66.05936190231803,3.3701137627234625,2.1678908630915195,-0.47056008798314625,-0.24970005964830172
94610,16230.0,870,7530.0,5.360443622920517,46.39556377079482,8.1,9.8,-0.22593864098408112,0.02580034415495869,-0.1000691484145612,37.812329,-122.240377,Oakland,Oakland (94610),22.91798306584102,4.423101225830911,-1.0633159952622604,-0.19933642168271146,-0.3656976784435236
94542,6740.0,460,3850.0,6.824925816023739,57.12166172106825,7.5,6.8,-0.30772900909385115,-1.2286301819998682,-0.7681795955468597,37.65532,-122.025826,Hayward,Hayward (94542),45.54159186116098,2.9722720925593458,0.6311490837801769,-0.5730343150461795,-0.3695611055899305
94619,11580.0,1070,6300.0,9.24006908462867,54.40414507772021,5.0,9.1,-0.6485222095512264,-0.26690011194783464,-0.4577111607495304,37.792612,-122.160084,Oakland,Oakland (94619),28.229913730381455,4.396632366697848,-0.6654625363030328,-0.20615414864374604,-0.44675975161146
94551,19940.0,1140,10680.0,5.717151454363089,53.56068204613842,5.4,8.7,-0.5939952974780464,-0.43415751543514497,-0.5140764064565956,37.750512,-121.749249,Livermore,Livermore (94551),27.90304396843292,4.417981961668546,-0.6899444570269837,-0.2006550181936136,-0.47968807203344715
94705,6880.0,290,3590.0,4.215116279069767,52.18023255813954,9.0,9.0,-0.10325308881942598,-0.308714462819662,-0.205983775819544,37.865205,-122.238384,Berkeley,Berkeley (94705),23.34417251411946,2.738319356494951,-1.0313952197707055,-0.6332947844625453,-0.5191643889680847
94566,20620.0,680,10740.0,3.2977691561590685,52.08535402521824,4.4,8.4,-0.7303125776609964,-0.5596005680506272,-0.6449565728558118,37.648731,-121.848024,Pleasanton,Pleasanton (94566),35.58033767366519,2.3923743068967664,-0.11492982506607854,-0.7224017187593793,-0.5318111723842703
94552,7040.0,270,3680.0,3.835227272727273,52.27272727272727,5.1,6.9,-0.6348904815329315,-1.1868158311280403,-0.9108531563304858,37.705778,-122.007585,Castro Valley / Hayward,Castro Valley / Hayward (94552),44.36210694972962,1.7824954936911677,0.5428079171802955,-0.879491497614326,-0.5395974732737505
94568,29790.0,1300,14630.0,4.36388049681101,49.11043974488083,3.9,5.9,-0.7984712177524714,-1.604959339846316,-1.2017152787993937,37.715966,-121.901141,Dublin,Dublin (94568),50.34558792350422,1.9123945214773355,0.9909592113837764,-0.8460327036595956,-0.5646260124686516
94588,15840.0,570,8150.0,3.5984848484848486,51.4520202020202,6.3,7.2,-0.47130974531339126,-1.061372778512558,-0.7663412619129746,37.792648,-121.862807,Pleasanton,Pleasanton (94588),43.198828506345585,0.5694760820045558,0.4556805840766196,-1.1919354569757563,-0.5672343491812715
94611,20320.0,780,10890.0,3.8385826771653546,53.59251968503938,6.1,9.2,-0.49857320134998134,-0.2250857610760072,-0.3618294812129942,37.831917,-122.215793,Oakland,Oakland (94611),20.33672278713119,3.5116963938434185,-1.2566474589453647,-0.4340918852340903,-0.6035995766513609
94706,8980.0,590,4160.0,6.570155902004454,46.32516703786192,9.0,5.7,-0.10325308881942598,-1.6885880415899712,-0.8959205652046986,37.889698,-122.295858,Albany,Albany (94706),36.21561613420501,2.7383742444800787,-0.067348681995958,-0.6332806466678575,-0.6231176147683032
94707,6730.0,170,4040.0,2.526002971768202,60.0297176820208,3.8,8.9,-0.8121029457707666,-0.3505288136914894,-0.581315879731128,37.89836,-122.27909,Berkeley,Berkeley (94707),27.994590417310665,2.472952086553323,-0.6830878028946965,-0.7016468649871367,-0.6368416068360223
94550,23340.0,1020,12370.0,4.370179948586118,52.99914310197087,3.4,9.2,-0.8666298578439465,-0.2250857610760072,-0.5458578094599769,37.519983,-121.575595,Livermore,Livermore (94550),22.42178447276941,2.340672074159907,-1.1004803219546386,-0.73571894200288,-0.7319787207193681
94586,510.0,0,320.0,0.0,62.74509803921568,6.0,10.5,-0.5122049293682763,0.31850080025775124,-0.0968520645552624,37.567125,-121.852246,Sunol,Sunol (94586),17.956656346749224,0.0,-1.434909888494728,-1.3386184862075317,-0.7418081259531961
94708,5730.0,150,3360.0,2.6178010471204187,58.63874345549738,5.7,8.5,-0.5531001134231613,-0.5177862171787998,-0.5354431653009806,37.903067,-122.26194,Berkeley,Berkeley (94708),21.06537530266344,1.386748844375963,-1.2020727775363917,-0.9814260988455941,-0.8135963017459866
94502,6830.0,220,3520.0,3.22108345534407,51.53733528550512,2.5,7.2,-0.9893154100086017,-1.061372778512558,-1.0253440942605798,37.739495,-122.239465,Alameda,Alameda (94502),32.734407269723256,1.218504750103263,-0.32808457550811765,-1.0247616386129665,-0.8508836006605609
94618,8390.0,240,4510.0,2.860548271752086,53.75446960667462,4.9,8.4,-0.6621539375695213,-0.5596005680506272,-0.6108772528100742,37.844821,-122.238552,Oakland,Oakland (94618),19.693301049233252,1.29136400322841,-1.304838517932841,-1.0059948873942988,-0.8831469777368222
